Tanggal,Demand,Is_Peak_Season,Is_Event,Waktu_Produksi,Biaya_Lembur,Lead_Time,Ongkir_Bahan_Baku,Max_Lembur_Bulan,Max_TK_Tambahan,Kategori_Musim,Prod_Pouch,Prod_Sajadah,Prod_Sarung Bantal,Prod_Selimut,Prod_Taplak Meja,Prod_Totebag
2022-02-05,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-06,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-07,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-08,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-09,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-10,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-11,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-12,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-13,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-14,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-15,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-16,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-17,6,0,1,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-18,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-19,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-20,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-21,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-22,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-23,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-24,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-25,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-26,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-27,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-02-28,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-01,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-02,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-03,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-04,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-05,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-06,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-07,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-08,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-09,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-10,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-11,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-12,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-13,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-14,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-15,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-16,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-17,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-18,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-19,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-20,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-21,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-22,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-23,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-24,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-25,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-26,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-27,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-28,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-29,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-30,11,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-03-31,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-01,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-02,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-03,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-04,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-05,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-06,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-07,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-08,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-09,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-10,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-11,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-12,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-13,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-14,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-15,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-16,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-17,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-18,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-19,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-20,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-21,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-22,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-23,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-24,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-25,7,0,1,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-26,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-27,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-28,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-29,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-04-30,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-01,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-02,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-03,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-04,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-05,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-06,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-07,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-08,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-09,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-10,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-11,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-12,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-13,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-14,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-15,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-16,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-17,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-18,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-19,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-20,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-21,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-22,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-23,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-24,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-25,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-26,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-27,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-28,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-29,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-30,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-05-31,9,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-01,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-02,9,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-03,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-04,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-05,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-06,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-07,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-08,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-09,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-10,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-11,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-12,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-13,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-14,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-15,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-16,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-17,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-18,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-19,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-20,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-21,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-22,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-23,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-24,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-25,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-26,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-27,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-28,9,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-29,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-06-30,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-01,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-02,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-03,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-04,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-05,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-06,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-07,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-08,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-09,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-10,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-11,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-12,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-13,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-14,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-15,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-16,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-17,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-18,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-19,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-20,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-21,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-22,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-23,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-24,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-25,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-26,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-27,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-28,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-29,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-30,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-07-31,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-01,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-02,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-03,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-04,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-05,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-06,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-07,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-08,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-09,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-10,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-11,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-12,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-13,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-14,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-15,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-16,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-17,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-18,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-19,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-20,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-21,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-22,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-23,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-24,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-25,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-26,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-27,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-28,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-29,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-30,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-08-31,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-01,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-02,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-03,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-04,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-05,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-06,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-07,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-08,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-09,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-10,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-11,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-12,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-13,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-14,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-15,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-16,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-17,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-18,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-19,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-20,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-21,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-22,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-23,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-24,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-25,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-26,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-27,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-28,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-29,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-09-30,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-01,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-02,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-03,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-04,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-05,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-06,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-07,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-08,9,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-09,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-10,5,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-11,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-12,0,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-13,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-14,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-15,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-16,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-17,6,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-18,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-19,9,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-20,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-21,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-22,7,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-23,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-24,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-25,2,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-26,1,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-27,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-28,4,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-29,8,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
2022-10-30,3,0,0,8,65000,4,25000,25,1,Bazaar,True,False,False,False,False,False
